# Optimized for FaradayRF & PCB:NG use. Through hole parts and U7 not in pick and place XYRS file,,,,,
RefDes,X (in),Y (in),Side,Rotate,MPN
C1,1.7,0.5,Top,270,GRM188R7YA105KA12D
C2,1.755,0.51,Top,270,GRM155R71H104KE14D
C3,2.16,0.875,Top,0,GRM188R7YA105KA12D
C4,2.12,0.82,Top,0,GRM155R71H104KE14D
C5,1.8,1.03,Top,90,GRM188R7YA105KA12D
C6,1.855,1.02,Top,90,GRM155R71H104KE14D
C9,1.565,1.09,Top,180,GRM1555C1H300JA01D
C10,0.59,1.26,Top,0,GRJ32ER71H106KE11L
C11,1.535,0.91,Top,0,GRM1555C1H300JA01D
C12,1.85,0.505,Top,270,GRM155R71H104KE14D
C13,1.5,0.61,Top,180,GRM155R71H104KE14D
C14,1.575,0.595,Top,270,GJM1555C1H120GB01D
C15,0.16,0.23,Top,0,GJM1555C1H120GB01D
C16,1.5,0.52,Top,180,GRM155R71H104KE14D
C18,2.5,1.605,Top,90,GJM1555C1H7R5CB01D
C19,1.5,0.565,Top,180,GJM1555C1H120GB01D
C20,2.355,1.605,Top,90,GJM1555C1H3R3CB01D
C21,1.405,0.475,Top,0,GRM155R71H222KA01D
C23,0.8,1.34,Top,180,GRM32ER71A476KE15L
C25,1.91,1.52,Top,270,GJM1555C1HR80BB01D
C28,2.23,1.68,Top,180,GJM1555C1H120GB01D
C29,2.14,1.73,Top,180,GJM1555C1H120GB01D
C30,2.285,1.575,Top,180,GRM1555C1H470GA01D 
C31,1.97,1.43,Top,90,GRM188R7YA105KA12D
C32,2.025,1.44,Top,90,GRM155R71H104KE14D
C35,2.17,1.43,Top,90,GRM188R7YA105KA12D
C36,2.115,1.44,Top,90,GRM155R71H104KE14D
C40,0.57,1.8,Top,270,GRM155R71H104KE14D
C41,0.9,1.75,Top,180,GRM188R7YA105KA12D
C42,1.225,1.725,Top,0,GRM155R71H104KE14D
C43,1.06,1.5,Top,270,GRM155R71H104KE14D
C44,0.31,0.2,Top,270,GRM188R7YA105KA12D
C45,2.13,0.765,Top,0,GRM188R71E474KA12D
C46,2.105,1.3,Top,90,GRM155R71H104KE14D
C47,2.06,0.36,Top,270,GRM188R7YA105KA12D
C48,2.705,0.25,Top,270,GRM188R7YA105KA12D
C49,2.605,0.25,Top,270,GRM188R7YA105KA12D
C50,2.505,0.25,Top,270,GRM188R7YA105KA12D
C52,2.305,0.25,Top,270,GRM188R7YA105KA12D
C53,2.205,0.25,Top,270,GRM188R7YA105KA12D
C54,0.59,1.38,Top,0,GRJ32ER71H106KE11L
C56,0.695,1.02,Top,90,GRM155R71H104KE14D
C63,0.78,0.675,Top,180,GJM1555C1H120GB01D
D1,0.105,0.045,Top,0,LG L29K-F2J1-24
D2,0.105,0.1,Top,0,LS L29K-G1H2-1
L2,2.545,1.655,Top,270,LQW15AN9N1G00D
L3,2.425,1.575,Top,180,LQW15AN2N9B00D
L4,1.92,1.595,Top,180,LQW15AN10NG00D
L5,1.6,0.52,Top,0,BLM15HG102SN1D
L9,2.305,1.65,Top,90,LQW15AN7N5G00D
L10,2.21,1.545,Top,90,LQW18AN10NJ10D
L16,0.785,1.485,Top,0,LPS4018-472MRB
P16,0.69,1.995,Top,180,10118192-0001LF
Q1,0.12,1.125,Top,180,IRLML6346TRPBF
Q2,0.455,1.64,Top,0,PMV48XP
Q3,0.405,1.355,Top,180,PMV48XP
R1,0.205,0.045,Top,180,RC0402FR-07360RL
R2,0.205,0.1,Top,180,RC0402FR-07360RL
R3,1.49,0.655,Top,180,RC0402FR-0756KL
R4,1.405,0.43,Top,180,RC0402FR-0756KL
R5,2.07,1.45,Top,270,RC0402FR-073K3L
R6,0.525,1.81,Top,90,RC0402FR-071ML
R7,0.435,1.545,Top,180,RC0402FR-0756KL
R11,0.225,1.085,Top,0,RC0402FR-0710KL
R14,0.59,0.895,Top,180,RC0402FR-0733K2L
R15,0.59,0.94,Top,0,RC0402FR-0710KL
R20,2.05,0.255,Top,270,RC0402FR-073K3L
R21,2.005,0.255,Top,90,RC0402FR-0733K2L
R24,2.005,0.345,Top,90,RC0402FR-0710KL
R25,2.655,0.27,Top,90,RC0402FR-0710KL
R26,2.555,0.27,Top,90,RC0402FR-0710KL
R27,2.455,0.27,Top,90,RC0402FR-0710KL
R29,2.255,0.27,Top,90,RC0402FR-0710KL
R30,2.155,0.27,Top,90,RC0402FR-0710KL
U1,1.865,0.765,Top,180,CC430F6137IRGCR
U2,0.32,1.565,Top,90,LTC4412ES6#TRMPBF
U3,0.61,1.05,Top,270,TPS562201DDCR
U4,2.075,1.6,Top,180,CC1190RGVR
U5,1.795,1.595,Top,180,SF2049E
U6,1.075,1.65,Top,270,FT230XQ-R
U8,1.99,1.19,Top,0,23K256T-I/ST
U10,0.735,1.74,Top,90,NUF2101MT1G
U12,0.585,1.62,Top,90,MIC94072YC6-TR
U14,1.585,0.765,Top,90,0915BM15A0001E
X1,1.725,0.38,Top,180,ST3215SB32768H5HPWAA
X2,1.55,1,Top,270,ABM8G-26.000MHZ-18-D2Y-T
Z1,0.63,1.76,Top,270,MI0805K400R-10
Z2,0.89,1.815,Top,0,MI0805K400R-10
